"name","version","repository","summary"
"@rwap/jquery-ui-touch-punch","1.1.5","https://github.com/RWAP/jquery-ui-touch-punch","MIT or GPL version 2"
"@uirouter/angularjs","1.1.2","https://github.com/angular-ui/ui-router","MIT"
"@uirouter/core","6.1.2","https://github.com/ui-router/core","MIT"
"abbrev","1.1.1","http://github.com/isaacs/abbrev-js","ISC"
"accepts","2.0.0","(none)","MIT"
"ajv","8.20.0","https://github.com/ajv-validator/ajv","MIT"
"angular","1.8.3","https://github.com/angular/angular.js","MIT"
"angular-animate","1.8.3","https://github.com/angular/angular.js","MIT"
"angular-aria","1.8.3","https://github.com/angular/angular.js","MIT"
"angular-chart.js","1.1.1","http://github.com/jtblin/angular-chart.js","BSD-2-Clause"
"angular-material","1.2.5","http://github.com/angular/material","MIT"
"angular-material-time-picker","1.0.8","http://github.com/classlinkinc/angular-material-time-picker","MIT"
"angular-messages","1.8.3","https://github.com/angular/angular.js","MIT"
"angular-sanitize","1.8.3","https://github.com/angular/angular.js","MIT"
"angular-translate","2.19.1","http://github.com/angular-translate/angular-translate","MIT"
"angular-translate-interpolation-messageformat","2.19.1","https://github.com/angular-translate/bower-angular-translate-interpolation-messageformat","MIT"
"angular-translate-loader-static-files","2.19.1","https://github.com/angular-translate/bower-angular-translate-loader-static-files","MIT"
"angular-ui-sortable","0.19.0","http://github.com/angular-ui/ui-sortable","MIT"
"babel-polyfill","6.26.0","https://github.com/babel/babel/tree/master/packages/babel-polyfill","MIT"
"babel-runtime","6.26.0","https://github.com/babel/babel/tree/master/packages/babel-runtime","MIT"
"balanced-match","1.0.0","http://github.com/juliangruber/balanced-match","MIT"
"basic-auth","2.0.1","https://github.com/jshttp/basic-auth","MIT"
"body-parser","2.3.0","(none)","MIT"
"brace-expansion","1.1.11","http://github.com/juliangruber/brace-expansion","MIT"
"bytes","3.1.2","(none)","MIT"
"call-bind-apply-helpers","1.0.2","https://github.com/ljharb/call-bind-apply-helpers","MIT"
"call-bound","1.0.4","https://github.com/ljharb/call-bound","MIT"
"chart.js","2.9.4","https://github.com/chartjs/Chart.js","MIT"
"chartjs-color","2.4.1","https://github.com/chartjs/chartjs-color","MIT"
"chartjs-color-string","0.6.0","https://github.com/chartjs/chartjs-color-string","MIT"
"color-convert","1.9.3","https://github.com/Qix-/color-convert","MIT"
"color-name","1.1.4","https://github.com/colorjs/color-name","MIT"
"concat-map","0.0.1","http://github.com/substack/node-concat-map","MIT"
"content-disposition","1.1.0","(none)","MIT"
"content-type","2.1.0","(none)","MIT"
"cookie","0.7.2","https://github.com/jshttp/cookie","MIT"
"cookie-signature","1.2.2","https://github.com/visionmedia/node-cookie-signature","MIT"
"core-js","2.6.11","https://github.com/zloirock/core-js","MIT"
"core-util-is","1.0.2","http://github.com/isaacs/core-util-is","MIT"
"debug","4.4.3","https://github.com/visionmedia/debug","MIT"
"depd","2.0.0","(none)","MIT"
"dunder-proto","1.0.1","https://github.com/es-shims/dunder-proto","MIT"
"ee-first","1.1.1","https://github.com/jonathanong/ee-first","MIT"
"encodeurl","2.0.0","(none)","MIT"
"es-define-property","1.0.1","https://github.com/ljharb/es-define-property","MIT"
"es-errors","1.3.0","https://github.com/ljharb/es-errors","MIT"
"es-object-atoms","1.1.2","https://github.com/ljharb/es-object-atoms","MIT"
"escape-html","1.0.3","https://github.com/component/escape-html","MIT"
"etag","1.8.1","https://github.com/jshttp/etag","MIT"
"express","5.2.1","https://github.com/expressjs/express","MIT"
"fast-deep-equal","3.1.3","https://github.com/epoberezkin/fast-deep-equal","MIT"
"fast-uri","3.1.8","https://github.com/fastify/fast-uri","BSD-3-Clause"
"finalhandler","2.1.1","(none)","MIT"
"forwarded","0.2.0","https://github.com/jshttp/forwarded","MIT"
"fresh","2.0.0","(none)","MIT"
"fs.realpath","1.0.0","https://github.com/isaacs/fs.realpath","ISC"
"function-bind","1.1.2","https://github.com/Raynos/function-bind","MIT"
"get-intrinsic","1.3.0","https://github.com/ljharb/get-intrinsic","MIT"
"get-proto","1.0.1","https://github.com/ljharb/get-proto","MIT"
"glob","7.0.6","https://github.com/isaacs/node-glob","ISC"
"gopd","1.2.0","https://github.com/ljharb/gopd","MIT"
"gulp-empty","0.1.2","https://github.com/trenker/gulp-empty","MIT"
"has-symbols","1.1.0","http://github.com/inspect-js/has-symbols","MIT"
"hasown","2.0.4","https://github.com/inspect-js/hasOwn","MIT"
"http-errors","2.0.1","(none)","MIT"
"iconv-lite","0.7.3","(none)","MIT"
"inflight","1.0.6","https://github.com/npm/inflight","ISC"
"inherits","2.0.4","http://github.com/isaacs/inherits","ISC"
"ipaddr.js","1.9.1","http://github.com/whitequark/ipaddr.js","MIT"
"is-promise","4.0.0","(none)","MIT"
"isarray","0.0.1","http://github.com/juliangruber/isarray","MIT"
"jquery","4.0.0","https://github.com/jquery/jquery","MIT"
"jquery-ui","1.14.2","http://github.com/jquery/jquery-ui","MIT"
"jquery-ui-dist","1.12.1","http://github.com/jquery/jquery-ui","MIT"
"json-schema-traverse","1.0.0","https://github.com/epoberezkin/json-schema-traverse","MIT"
"make-plural","3.0.6","https://github.com/eemeli/make-plural.js","ISC"
"math-intrinsics","1.1.0","https://github.com/es-shims/math-intrinsics","MIT"
"media-typer","1.1.1","(none)","MIT"
"merge-descriptors","2.0.0","https://github.com/sindresorhus/merge-descriptors","MIT"
"messageformat","1.0.2","https://github.com/messageformat/messageformat.js","MIT"
"messageformat-parser","1.1.0","https://github.com/messageformat/parser","MIT"
"mime-db","1.54.0","(none)","MIT"
"mime-types","3.0.2","(none)","MIT"
"minimatch","3.0.4","http://github.com/isaacs/minimatch","ISC"
"minimist","1.2.5","http://github.com/substack/minimist","MIT"
"moment","2.31.0","https://github.com/github:moment/moment","MIT"
"morgan","1.12.1","https://github.com/expressjs/morgan","MIT"
"ms","2.1.3","https://github.com/zeit/ms","MIT"
"negotiator","1.1.0","(none)","MIT"
"ng-device-detector","5.1.4","https://github.com/srfrnk/ng-device-detector","MIT"
"ng-file-upload","12.2.13","https://github.com/danialfarid/ng-file-upload","MIT"
"ng-idle","1.3.2","https://github.com/HackedByChinese/ng-idle","MIT"
"ngstorage","0.3.11","https://github.com/gsklee/ngStorage","MIT"
"nopt","3.0.6","https://github.com/npm/nopt","ISC"
