path,ecosystem,kind,group,artifact,version
common/pom.xml,maven,parent,org.eblocker,restexpress-parent,0.12.2
core/pom.xml,maven,dependency,org.eblocker,restexpress-common,${project.version}
core/pom.xml,maven,dependency,com.strategicgains,DateAdapterJ,1.1.5-SNAPSHOT
core/pom.xml,maven,dependency,com.fasterxml.jackson.core,jackson-databind,2.16.1
core/pom.xml,maven,dependency,io.netty,netty-all,4.1.84.Final
core/pom.xml,maven,dependency,org.owasp.encoder,encoder,1.2.3
core/pom.xml,maven,dependency,org.apache.httpcomponents,httpmime,4.5.13
core/pom.xml,maven,dependency,com.jcraft,jzlib,1.1.3
core/pom.xml,maven,dependency,com.google.code.gson,gson,2.8.6
core/pom.xml,maven,dependency,org.apache.httpcomponents,httpclient,4.5.13
core/pom.xml,maven,parent,org.eblocker,restexpress-parent,0.12.2
pom.xml,maven,dependency,junit,junit,4.12
pom.xml,maven,plugin,org.apache.maven.plugins,maven-compiler-plugin,3.8.1
pom.xml,maven,plugin,org.apache.maven.plugins,maven-source-plugin,3.2.1
pom.xml,maven,plugin,org.apache.maven.plugins,maven-javadoc-plugin,3.2.0
pom.xml,maven,plugin,org.apache.maven.plugins,maven-release-plugin,inherited
pom.xml,maven,plugin,org.codehaus.mojo,versions-maven-plugin,2.7
pom.xml,maven,plugin,org.codehaus.mojo,findbugs-maven-plugin,3.0.5
pom.xml,maven,parent,org.sonatype.oss,oss-parent,9
