category,path,line
redis,Gemfile,13
privilege,Jenkinsfile,6
privilege,Jenkinsfile,11
privilege,Jenkinsfile,16
privilege,Jenkinsfile,21
privilege,README.md,11
service,etc/systemd/eblocker-dns.service,3
service,etc/systemd/eblocker-dns.service,4
service,etc/systemd/eblocker-dns.service,5
service,etc/systemd/eblocker-dns.service,6
service,etc/systemd/eblocker-dns.service,11
service,etc/systemd/eblocker-dns.service,12
service,etc/systemd/eblocker-dns.service,13
service,etc/systemd/eblocker-dns.service,14
redis,lib/eblocker/dns.rb,47
redis,lib/eblocker/dns/config-listener.rb,35
redis,lib/eblocker/dns/server.rb,128
redis,lib/eblocker/dns/server.rb,257
redis,lib/eblocker/dns/server.rb,263
redis,lib/eblocker/dns/server.rb,265
redis,lib/eblocker/dns/server.rb,269
redis,lib/eblocker/dns/server.rb,318
redis,lib/eblocker/dns/server.rb,320
redis,lib/eblocker/dns/server.rb,321
