key,path,line,usage
bpjm.path,src/main/resources/bpjm.properties,1,definition
bpjm.hashFunctionName,src/main/resources/bpjm.properties,2,definition
bpjm.out,src/main/resources/bpjm.properties,3,definition
list.all,src/main/resources/lists.properties,1,definition
list.directory,src/main/resources/lists.properties,3,definition
list.max_filter_size,src/main/resources/lists.properties,4,definition
list.easyprivacy.url,src/main/resources/lists.properties,6,definition
list.easyprivacy.filename,src/main/resources/lists.properties,7,definition
list.easyprivacy.minimum_bytes_json,src/main/resources/lists.properties,8,definition
list.easyprivacy.ruletest.1,src/main/resources/lists.properties,9,definition
list.easyprivacy.ruletest.2,src/main/resources/lists.properties,10,definition
list.easyprivacy.has_checksum,src/main/resources/lists.properties,11,definition
list.easylist.url,src/main/resources/lists.properties,13,definition
list.easylist.filename,src/main/resources/lists.properties,14,definition
list.easylist.minimum_bytes_json,src/main/resources/lists.properties,15,definition
list.easylist.ruletest.1,src/main/resources/lists.properties,16,definition
list.easylist.ruletest.2,src/main/resources/lists.properties,17,definition
list.easylist.has_checksum,src/main/resources/lists.properties,18,definition
list.easylistgermany.url,src/main/resources/lists.properties,20,definition
list.easylistgermany.filename,src/main/resources/lists.properties,21,definition
list.easylistgermany.minimum_bytes_json,src/main/resources/lists.properties,22,definition
list.easylistgermany.ruletest.1,src/main/resources/lists.properties,23,definition
list.easylistgermany.ruletest.2,src/main/resources/lists.properties,24,definition
list.easylistgermany.has_checksum,src/main/resources/lists.properties,25,definition
list.easylistcookie.url,src/main/resources/lists.properties,27,definition
list.easylistcookie.filename,src/main/resources/lists.properties,28,definition
list.easylistcookie.minimum_bytes_json,src/main/resources/lists.properties,29,definition
list.easylistcookie.ruletest.1,src/main/resources/lists.properties,30,definition
list.easylistcookie.ruletest.2,src/main/resources/lists.properties,31,definition
list.ddgtr.url,src/main/resources/lists.properties,33,definition
list.ddgtr.filename,src/main/resources/lists.properties,34,definition
list.ddgtr.minimum_bytes_json,src/main/resources/lists.properties,35,definition
list.ddgtr.ruletest.1,src/main/resources/lists.properties,36,definition
list.ddgtr.ruletest.2,src/main/resources/lists.properties,37,definition
list.ubofilters.url,src/main/resources/lists.properties,39,definition
list.ubofilters.filename,src/main/resources/lists.properties,40,definition
list.ubofilters.minimum_bytes_json,src/main/resources/lists.properties,41,definition
list.ubofilters.max_age_days,src/main/resources/lists.properties,42,definition
list.ubofilters.has_checksum,src/main/resources/lists.properties,43,definition
list.parentalcontrol.max_filter_size,src/main/resources/lists.properties,45,definition
output.filtered.urls,src/main/resources/malware.properties,1,definition
output.filtered.ipPorts,src/main/resources/malware.properties,2,definition
output.filtered.ip6Ports,src/main/resources/malware.properties,3,definition
provider.malwarepatrol.dns.errorRatio,src/main/resources/malware.properties,5,definition
provider.malwarepatrol.dns.threads,src/main/resources/malware.properties,6,definition
provider.malwarepatrol.dns.timeoutSeconds,src/main/resources/malware.properties,7,definition
provider.phishtank.filteredUrls.prefix,src/main/resources/malware.properties,9,definition
provider.phishtank.url,src/main/resources/malware.properties,10,definition
provider.file.fileName,src/main/resources/malware.properties,12,definition
provider.urlhaus.url,src/main/resources/malware.properties,14,definition
scriptlets.directory,src/main/resources/scriptlets.properties,1,definition
scriptlets.url,src/main/resources/scriptlets.properties,2,definition
scriptlets.minimum_number,src/main/resources/scriptlets.properties,3,definition
squidblacklist.org.username,src/main/resources/squidblacklists.properties,1,definition
squidblacklist.org.password,src/main/resources/squidblacklists.properties,2,definition
intermediateCertificates.url,src/main/resources/tls.properties,1,definition
intermediateCertificates.outputFile,src/main/resources/tls.properties,2,definition
intermediateCertificates.count.minimum,src/main/resources/tls.properties,3,definition
intermediateCertificates.count.maximum,src/main/resources/tls.properties,4,definition
list.parentalcontrol.max_filter_size,src/test/resources/lists.properties,1,definition
