path,ecosystem,kind,group,artifact,version
pom.xml,maven,dependency,org.eblocker,eblocker-icapserver,3.1.0
pom.xml,maven,dependency,com.fasterxml.jackson.datatype,jackson-datatype-jsr310,2.12.1
pom.xml,maven,dependency,org.codehaus.plexus,plexus-archiver,4.8.0
pom.xml,maven,dependency,org.apache.commons,commons-csv,1.4
pom.xml,maven,dependency,org.apache.httpcomponents,httpclient,4.5.13
pom.xml,maven,dependency,com.google.guava,guava,32.0.0-jre
pom.xml,maven,dependency,org.slf4j,slf4j-api,${version.slf4j}
pom.xml,maven,dependency,org.apache.logging.log4j,log4j-api,${version.log4j2}
pom.xml,maven,dependency,org.apache.logging.log4j,log4j-core,${version.log4j2}
pom.xml,maven,dependency,org.apache.logging.log4j,log4j-slf4j-impl,${version.log4j2}
pom.xml,maven,dependency,junit,junit,4.13.1
pom.xml,maven,dependency,org.mock-server,mockserver-netty,3.10.4
pom.xml,maven,dependency,org.mockito,mockito-core,3.3.3
pom.xml,maven,plugin,org.apache.maven.plugins,maven-resources-plugin,2.7
pom.xml,maven,plugin,org.vafer,jdeb,1.3
pom.xml,maven,plugin,org.apache.maven.plugins,maven-compiler-plugin,3.8.1
pom.xml,maven,plugin,org.codehaus.mojo,exec-maven-plugin,1.5.0
pom.xml,maven,plugin,org.codehaus.mojo,exec-maven-plugin,1.5.0
pom.xml,maven,plugin,org.codehaus.mojo,exec-maven-plugin,1.5.0
