path,ecosystem,kind,group,artifact,version
pom.xml,maven,dependency,io.netty,netty-all,${version.netty}
pom.xml,maven,dependency,com.strategicgains,Syntaxe,${version.syntaxe}
pom.xml,maven,dependency,redis.clients,jedis,${version.jedis}
pom.xml,maven,dependency,com.google.inject,guice,${version.guice}
pom.xml,maven,dependency,com.google.inject.extensions,guice-assistedinject,${version.guice}
pom.xml,maven,dependency,com.google.inject.extensions,guice-multibindings,${version.guice}
pom.xml,maven,dependency,com.google.guava,guava,${version.guava}
pom.xml,maven,dependency,com.sun.xml.bind,jaxb-impl,${version.jaxb}
pom.xml,maven,dependency,com.fasterxml.jackson.core,jackson-core,${version.jackson}
pom.xml,maven,dependency,com.fasterxml.jackson.core,jackson-databind,${version.jackson}
pom.xml,maven,dependency,com.fasterxml.jackson.core,jackson-annotations,${version.jackson.annotations}
pom.xml,maven,dependency,com.fasterxml.jackson.dataformat,jackson-dataformat-xml,${version.jackson}
pom.xml,maven,dependency,com.fasterxml.jackson.dataformat,jackson-dataformat-json,${version.jackson}
pom.xml,maven,dependency,com.fasterxml.jackson.datatype,jackson-datatype-hppc,${version.jackson}
pom.xml,maven,dependency,com.fasterxml.jackson.datatype,jackson-datatype-json-org,${version.jackson}
pom.xml,maven,dependency,com.fasterxml.jackson.datatype,jackson-datatype-jsr310,${version.jackson}
pom.xml,maven,dependency,com.fasterxml.jackson.datatype,jackson-datatype-guava,${version.jackson}
pom.xml,maven,dependency,com.fasterxml.jackson.jaxrs,jackson-jaxrs-base,${version.jackson}
pom.xml,maven,dependency,com.fasterxml.jackson.jaxrs,jackson-jaxrs-json-provider,${version.jackson}
pom.xml,maven,dependency,com.fasterxml.jackson.module,jackson-module-jaxb-annotations,${version.jackson}
pom.xml,maven,dependency,org.bouncycastle,bcprov-jdk18on,${version.bouncycastle}
pom.xml,maven,dependency,org.bouncycastle,bcpkix-jdk18on,${version.bouncycastle}
pom.xml,maven,dependency,org.jmdns,jmdns,${version.jmdns}
pom.xml,maven,dependency,org.fourthline.cling,cling-core,${version.cling-core}
pom.xml,maven,dependency,org.fourthline.cling,cling-support,${version.cling-support}
