path,ecosystem,kind,group,artifact,version
pom.xml,maven,dependency,io.netty,netty-buffer,4.1.84.Final
pom.xml,maven,dependency,io.netty,netty-common,4.1.84.Final
pom.xml,maven,dependency,io.netty,netty-handler,4.1.84.Final
pom.xml,maven,dependency,io.netty,netty-codec-http,4.1.84.Final
pom.xml,maven,dependency,org.apache.felix,org.osgi.core,1.4.0
pom.xml,maven,dependency,junit,junit,4.8.1
pom.xml,maven,dependency,net.sf.docbook,docbook-xml,5.0-all
pom.xml,maven,dependency,net.sf.offo,fop-hyph,1.2
pom.xml,maven,dependency,org.apache.ant,ant,1.8.2
pom.xml,maven,dependency,org.apache.ant,ant-launcher,1.8.2
pom.xml,maven,dependency,org.apache.ant,ant,1.8.2
pom.xml,maven,dependency,org.apache.ant,ant-launcher,1.8.2
pom.xml,maven,dependency,ant-contrib,ant-contrib,1.0b3
pom.xml,maven,plugin,org.apache.maven.plugins,maven-jxr-plugin,2.2
pom.xml,maven,plugin,com.agilejava.docbkx,docbkx-maven-plugin,2.0.13
pom.xml,maven,plugin,,maven-antrun-plugin,1.6
pom.xml,maven,plugin,org.apache.maven.plugins,maven-gpg-plugin,1.2
pom.xml,maven,plugin,,maven-assembly-plugin,2.2
pom.xml,maven,plugin,org.apache.maven.plugins,maven-compiler-plugin,3.8.1
pom.xml,maven,plugin,,maven-resources-plugin,2.4.3
pom.xml,maven,plugin,,maven-compiler-plugin,inherited
pom.xml,maven,plugin,,maven-surefire-plugin,2.5
pom.xml,maven,plugin,org.apache.felix,maven-bundle-plugin,2.3.4
pom.xml,maven,plugin,,maven-source-plugin,2.1.1
pom.xml,maven,plugin,,maven-javadoc-plugin,2.8
pom.xml,maven,plugin,,maven-antrun-plugin,1.6
pom.xml,maven,plugin,org.apache.maven.plugins,maven-eclipse-plugin,2.8
pom.xml,maven,plugin,org.codehaus.mojo,cobertura-maven-plugin,2.4
pom.xml,maven,plugin,org.apache.maven.plugins,maven-deploy-plugin,2.6
pom.xml,maven,plugin,,maven-release-plugin,2.1
