key,path,line,usage
local.propertiesPath,eblocker-certificate-validator/src/main/resources/certificate-validator.properties,1,definition
server.port,eblocker-certificate-validator/src/main/resources/certificate-validator.properties,3,definition
reader.concurrentFormat,eblocker-certificate-validator/src/main/resources/certificate-validator.properties,5,definition
validator.sun.certificates.path,eblocker-certificate-validator/src/main/resources/certificate-validator.properties,7,definition
validator.sun.preferCrls,eblocker-certificate-validator/src/main/resources/certificate-validator.properties,8,definition
validator.cache.maxSize,eblocker-certificate-validator/src/main/resources/certificate-validator.properties,10,definition
validator.cache.concurrencyLevel,eblocker-certificate-validator/src/main/resources/certificate-validator.properties,11,definition
validator.cache.ttl,eblocker-certificate-validator/src/main/resources/certificate-validator.properties,12,definition
validator.pin.trustStore.path,eblocker-certificate-validator/src/main/resources/certificate-validator.properties,14,definition
validator.pin.trustStore.password,eblocker-certificate-validator/src/main/resources/certificate-validator.properties,15,definition
validator.pin.refresh.period,eblocker-certificate-validator/src/main/resources/certificate-validator.properties,16,definition
intermediate.certificates.path,eblocker-certificate-validator/src/main/resources/certificate-validator.properties,18,definition
intermediate.certificates.refresh.period,eblocker-certificate-validator/src/main/resources/certificate-validator.properties,19,definition
cache.crl.enabled,eblocker-certificate-validator/src/main/resources/certificate-validator.properties,21,definition
cache.crl.maxSize,eblocker-certificate-validator/src/main/resources/certificate-validator.properties,22,definition
cache.crl.concurrencyLevel,eblocker-certificate-validator/src/main/resources/certificate-validator.properties,23,definition
cache.crl.maxAge,eblocker-certificate-validator/src/main/resources/certificate-validator.properties,24,definition
cache.crl.file,eblocker-certificate-validator/src/main/resources/certificate-validator.properties,25,definition
cache.crl.write.period,eblocker-certificate-validator/src/main/resources/certificate-validator.properties,26,definition
cache.crl.refresh.period,eblocker-certificate-validator/src/main/resources/certificate-validator.properties,27,definition
cache.ocsp.enabled,eblocker-certificate-validator/src/main/resources/certificate-validator.properties,29,definition
cache.ocsp.maxSize,eblocker-certificate-validator/src/main/resources/certificate-validator.properties,30,definition
cache.ocsp.concurrencyLevel,eblocker-certificate-validator/src/main/resources/certificate-validator.properties,31,definition
cache.ocsp.maxAge.success,eblocker-certificate-validator/src/main/resources/certificate-validator.properties,32,definition
cache.ocsp.maxAge.error,eblocker-certificate-validator/src/main/resources/certificate-validator.properties,33,definition
cache.ocsp.file,eblocker-certificate-validator/src/main/resources/certificate-validator.properties,34,definition
cache.ocsp.write.period,eblocker-certificate-validator/src/main/resources/certificate-validator.properties,35,definition
cache.ocsp.refresh.period,eblocker-certificate-validator/src/main/resources/certificate-validator.properties,36,definition
local.propertiesPath,eblocker-certificate-validator/src/test/resources/certificate-validator.properties,1,definition
server.port,eblocker-certificate-validator/src/test/resources/certificate-validator.properties,3,definition
trustStore.password,eblocker-certificate-validator/src/test/resources/certificate-validator.properties,5,definition
validator.sun.preferCrls,eblocker-certificate-validator/src/test/resources/certificate-validator.properties,7,definition
