path,ecosystem,kind,group,artifact,version
eblocker-baseconfig/pom.xml,maven,plugin,org.apache.maven.plugins,maven-resources-plugin,2.7
eblocker-baseconfig/pom.xml,maven,plugin,org.vafer,jdeb,1.3
eblocker-baseconfig/pom.xml,maven,parent,org.eblocker,eblocker-parent,4.0.3
eblocker-certificate-validator/pom.xml,maven,dependency,org.eblocker,eblocker-crypto,inherited
eblocker-certificate-validator/pom.xml,maven,dependency,com.google.guava,guava,inherited
eblocker-certificate-validator/pom.xml,maven,dependency,org.slf4j,slf4j-api,inherited
eblocker-certificate-validator/pom.xml,maven,dependency,org.apache.logging.log4j,log4j-slf4j-impl,inherited
eblocker-certificate-validator/pom.xml,maven,dependency,org.junit.jupiter,junit-jupiter,inherited
eblocker-certificate-validator/pom.xml,maven,dependency,org.mockito,mockito-core,inherited
eblocker-certificate-validator/pom.xml,maven,dependency,org.eblocker,eblocker-icapserver,inherited
eblocker-certificate-validator/pom.xml,maven,dependency,org.mock-server,mockserver-netty,inherited
eblocker-certificate-validator/pom.xml,maven,plugin,org.apache.maven.plugins,maven-jar-plugin,2.4
eblocker-certificate-validator/pom.xml,maven,plugin,org.apache.maven.plugins,maven-dependency-plugin,2.9
eblocker-certificate-validator/pom.xml,maven,plugin,org.apache.maven.plugins,maven-resources-plugin,2.7
eblocker-certificate-validator/pom.xml,maven,plugin,org.vafer,jdeb,1.3
eblocker-certificate-validator/pom.xml,maven,plugin,org.codehaus.mojo,exec-maven-plugin,1.2.1
eblocker-certificate-validator/pom.xml,maven,parent,org.eblocker,eblocker-parent,4.0.3
eblocker-icapserver/pom.xml,maven,dependency,org.eblocker,netty-icap,${version.netty.icap}
eblocker-icapserver/pom.xml,maven,dependency,org.eblocker,restexpress,${version.restexpress}
eblocker-icapserver/pom.xml,maven,dependency,org.eblocker,eblocker-crypto,inherited
eblocker-icapserver/pom.xml,maven,dependency,org.eblocker,eblocker-registration-api,inherited
eblocker-icapserver/pom.xml,maven,dependency,org.fourthline.cling,cling-core,inherited
eblocker-icapserver/pom.xml,maven,dependency,org.fourthline.cling,cling-support,inherited
eblocker-icapserver/pom.xml,maven,dependency,org.slf4j,jul-to-slf4j,inherited
eblocker-icapserver/pom.xml,maven,dependency,io.netty,netty-all,inherited
eblocker-icapserver/pom.xml,maven,dependency,org.eblocker,restexpress,inherited
eblocker-icapserver/pom.xml,maven,dependency,com.strategicgains,Syntaxe,inherited
eblocker-icapserver/pom.xml,maven,dependency,org.slf4j,slf4j-api,inherited
eblocker-icapserver/pom.xml,maven,dependency,org.apache.logging.log4j,log4j-slf4j-impl,inherited
eblocker-icapserver/pom.xml,maven,dependency,commons-io,commons-io,inherited
eblocker-icapserver/pom.xml,maven,dependency,org.apache.commons,commons-lang3,inherited
eblocker-icapserver/pom.xml,maven,dependency,org.apache.commons,commons-csv,inherited
eblocker-icapserver/pom.xml,maven,dependency,junit,junit,inherited
eblocker-icapserver/pom.xml,maven,dependency,org.junit.jupiter,junit-jupiter,inherited
eblocker-icapserver/pom.xml,maven,dependency,org.mockito,mockito-core,inherited
eblocker-icapserver/pom.xml,maven,dependency,org.mockito,mockito-junit-jupiter,inherited
eblocker-icapserver/pom.xml,maven,dependency,commons-codec,commons-codec,inherited
eblocker-icapserver/pom.xml,maven,dependency,com.sun.xml.bind,jaxb-impl,inherited
eblocker-icapserver/pom.xml,maven,dependency,com.fasterxml.jackson.core,jackson-core,inherited
eblocker-icapserver/pom.xml,maven,dependency,com.fasterxml.jackson.core,jackson-annotations,inherited
eblocker-icapserver/pom.xml,maven,dependency,com.fasterxml.jackson.dataformat,jackson-dataformat-xml,inherited
eblocker-icapserver/pom.xml,maven,dependency,com.fasterxml.jackson.datatype,jackson-datatype-jsr310,inherited
eblocker-icapserver/pom.xml,maven,dependency,com.fasterxml.jackson.datatype,jackson-datatype-guava,inherited
eblocker-icapserver/pom.xml,maven,dependency,redis.clients,jedis,inherited
eblocker-icapserver/pom.xml,maven,dependency,com.google.inject,guice,inherited
eblocker-icapserver/pom.xml,maven,dependency,com.google.inject.extensions,guice-assistedinject,inherited
eblocker-icapserver/pom.xml,maven,dependency,com.google.guava,guava,inherited
eblocker-icapserver/pom.xml,maven,dependency,org.brotli,dec,inherited
eblocker-icapserver/pom.xml,maven,dependency,org.eblocker,netty-icap,inherited
eblocker-icapserver/pom.xml,maven,dependency,org.glassfish.jersey.core,jersey-client,inherited
eblocker-icapserver/pom.xml,maven,dependency,org.glassfish.jersey.media,jersey-media-json-jackson,inherited
eblocker-icapserver/pom.xml,maven,dependency,org.glassfish.jersey.inject,jersey-hk2,inherited
eblocker-icapserver/pom.xml,maven,dependency,com.auth0,java-jwt,inherited
