order,path,controller,methods,route_name,flags,replacement,status
0,/summary/whitelist/config,FilterController,GET,dashboard.filter.config.route,,feature route module,declaration parity verified; handler behavior unchanged
1,/summary/whitelist/config,FilterController,PUT,dashboard.filter.save.config.route,,feature route module,declaration parity verified; handler behavior unchanged
2,/devices,DeviceController,GET,controlbar.devices.route,,feature route module,declaration parity verified; handler behavior unchanged
3,/api/device/icon,DeviceController,GET,dashboard.icon.get.route,,feature route module,declaration parity verified; handler behavior unchanged
4,/api/device/icon,DeviceController,DELETE,dashboard.icon.reset.route,,feature route module,declaration parity verified; handler behavior unchanged
5,/api/device/icon,DeviceController,POST,dashboard.icon.set.route,,feature route module,declaration parity verified; handler behavior unchanged
6,/api/device/iconpos/{iconPos},DeviceController,POST,public.icon.position.set.route,,feature route module,declaration parity verified; handler behavior unchanged
7,/redirect/{decision}/{uuid},RedirectController,GET,public.redirect.route,,feature route module,declaration parity verified; handler behavior unchanged
8,/redirect/{decision}/{uuid},RedirectController,PUT,public.redirect.store.route,,feature route module,declaration parity verified; handler behavior unchanged
9,/redirect-delete/{domain},RedirectController,GET,public.redirect.delete.route,,feature route module,declaration parity verified; handler behavior unchanged
10,/redirect/prepare,RedirectController,GET,public.redirect.prepare.route,,feature route module,declaration parity verified; handler behavior unchanged
11,/network/setupPageInfo,NetworkController,GET,public.network.config.setuppage.get.route,,feature route module,declaration parity verified; handler behavior unchanged
12,/api/squiderror/searchEngineConfig,ParentalControlController,GET,errorpage.parentalcontrol.searchEngine.get,,feature route module,declaration parity verified; handler behavior unchanged
13,/summary/whitelist/all,DomainWhiteListController,GET,public.whitelist.get.route,,feature route module,declaration parity verified; handler behavior unchanged
14,/summary/whitelist/all,DomainWhiteListController,PUT,public.whitelist.set.route,,feature route module,declaration parity verified; handler behavior unchanged
15,/summary/whitelist/update,DomainWhiteListController,PUT,public.whitelist.update.route,,feature route module,declaration parity verified; handler behavior unchanged
16,/registration,DeviceRegistrationController,GET,public.registration.status.route,,feature route module,declaration parity verified; handler behavior unchanged
