source_path,git_blob,owner,disposition,replacement_phase,removal_gate
.editorconfig,a9949c3f90e64d20665b89f976a1fa5dda246088,root,"retain until replacement parity; inventoried, not semantically certified",R8 feature migration,contract + feature + upgrade tests; no deletion before evidence
.github/workflows/deployPackage.yml,865b33731866b986c2f2680aaf2afce97a46e2a0,.github,"retain until replacement parity; inventoried, not semantically certified",R8 feature migration,contract + feature + upgrade tests; no deletion before evidence
.github/workflows/verify.yml,cc6cb3a4e8e8da43c23abf2c2f7f16bfff6fb6b8,.github,"retain until replacement parity; inventoried, not semantically certified",R8 feature migration,contract + feature + upgrade tests; no deletion before evidence
.gitignore,ae4198907b1ec028ef5bc87db0ed49e127252dec,root,"retain until replacement parity; inventoried, not semantically certified",R8 feature migration,contract + feature + upgrade tests; no deletion before evidence
.idea/codeStyles/Project.xml,73dfe99baf9f841b50f1159a13fc50dee3cf2968,.idea,"retain until replacement parity; inventoried, not semantically certified",R8 feature migration,contract + feature + upgrade tests; no deletion before evidence
.idea/codeStyles/codeStyleConfig.xml,79ee123c2b23e069e35ed634d687e17f731cc702,.idea,"retain until replacement parity; inventoried, not semantically certified",R8 feature migration,contract + feature + upgrade tests; no deletion before evidence
.mvn/maven.config,b79df8ca66d6673b96abf51fc5bf33de14f67cb2,.mvn,"retain until replacement parity; inventoried, not semantically certified",R8 feature migration,contract + feature + upgrade tests; no deletion before evidence
.run/EblockerStart.run.xml,beffa63f226927021ff898a7f392460ffaba1292,.run,"retain until replacement parity; inventoried, not semantically certified",R8 feature migration,contract + feature + upgrade tests; no deletion before evidence
.vscode/settings.json,cc8e476eb58fcdf9423ce3f8f4c45ac66576ae41,.vscode,"retain until replacement parity; inventoried, not semantically certified",R8 feature migration,contract + feature + upgrade tests; no deletion before evidence
LICENSE.md,b605841ba34743006a82bf3df026d4528bfcd27f,root,"retain until replacement parity; inventoried, not semantically certified",R8 feature migration,contract + feature + upgrade tests; no deletion before evidence
README.md,8551a608887e4a5eca272bc0e2955dd285472702,root,"retain until replacement parity; inventoried, not semantically certified",R8 feature migration,contract + feature + upgrade tests; no deletion before evidence
eblocker-baseconfig/.gitignore,b83d22266ac8aa2f8df2edef68082c789727841d,eblocker-baseconfig,"retain until replacement parity; inventoried, not semantically certified",R8 feature migration,contract + feature + upgrade tests; no deletion before evidence
eblocker-baseconfig/pom.xml,7f22a94e0cf69b7d75db70bcecd2d7d0d2ddecf3,eblocker-baseconfig,"retain until replacement parity; inventoried, not semantically certified",R2 build then R13 legacy removal,contract + feature + upgrade tests; no deletion before evidence
eblocker-baseconfig/src/deb/control/control,2037e85d25631218cbb347495ebac7abb76a5fdc,eblocker-baseconfig,"retain until replacement parity; inventoried, not semantically certified",R8 feature migration,contract + feature + upgrade tests; no deletion before evidence
eblocker-baseconfig/src/deb/control/postinst,021f8387651c8d1be6f0c0a2b9863d0d725e3473,eblocker-baseconfig,"retain until replacement parity; inventoried, not semantically certified",R8 feature migration,contract + feature + upgrade tests; no deletion before evidence
eblocker-baseconfig/src/deb/control/prerm,64c2e179456583104582d8e8ce8f40cbd020b462,eblocker-baseconfig,"retain until replacement parity; inventoried, not semantically certified",R8 feature migration,contract + feature + upgrade tests; no deletion before evidence
eblocker-baseconfig/src/main/setup/etc/dhcp/dhclient-enter-hooks.d/eblocker-no-dhcp-nameservers-updates,28b8247666d97e76fb6da1a2709e041cee3b533d,eblocker-baseconfig,"retain until replacement parity; inventoried, not semantically certified",R8 feature migration,contract + feature + upgrade tests; no deletion before evidence
eblocker-baseconfig/src/main/setup/etc/dhcp/dhclient-exit-hooks.d/updateIP,921eac6f35bbfd00a43f512acea6a8c682408456,eblocker-baseconfig,"retain until replacement parity; inventoried, not semantically certified",R8 feature migration,contract + feature + upgrade tests; no deletion before evidence
eblocker-baseconfig/src/main/setup/etc/issue.eblocker,4992655b8963743b9ebf9906106f6b5850c81c1f,eblocker-baseconfig,"retain until replacement parity; inventoried, not semantically certified",R8 feature migration,contract + feature + upgrade tests; no deletion before evidence
eblocker-baseconfig/src/main/setup/etc/network/if-up.d/ipforward,41612a6b73bcd6dbe80d65cab69615ace6492821,eblocker-baseconfig,"retain until replacement parity; inventoried, not semantically certified",R7 network agent and R11 packaging,contract + feature + upgrade tests; no deletion before evidence
eblocker-baseconfig/src/main/setup/etc/tor/torrc,f309398c11e880a7c93962c08c91137781f07d36,eblocker-baseconfig,"retain until replacement parity; inventoried, not semantically certified",R8 feature migration,contract + feature + upgrade tests; no deletion before evidence
eblocker-baseconfig/src/main/squid-errors/ERR_ICAP_FAILURE,e9114813444490f1b98d209a2a5738c5c7f7ed85,eblocker-baseconfig,"retain until replacement parity; inventoried, not semantically certified",R8 feature migration,contract + feature + upgrade tests; no deletion before evidence
eblocker-baseconfig/src/main/squid-errors/ERR_SECURE_CONNECT_FAIL,22516e7ecfff4186f600895f35f7cc899c0636a3,eblocker-baseconfig,"retain until replacement parity; inventoried, not semantically certified",R8 feature migration,contract + feature + upgrade tests; no deletion before evidence
eblocker-baseconfig/src/main/squid-errors/REDIRECT_TO_EBLOCKER,a0e9b5067d033ffb940f5079d426b84172aaa08e,eblocker-baseconfig,"retain until replacement parity; inventoried, not semantically certified",R8 feature migration,contract + feature + upgrade tests; no deletion before evidence
eblocker-baseconfig/src/main/squid-errors/error-details.txt,b88c89e88800cf3232677413fef1384dddb5376b,eblocker-baseconfig,"retain until replacement parity; inventoried, not semantically certified",R8 feature migration,contract + feature + upgrade tests; no deletion before evidence
eblocker-certificate-validator/pom.xml,c147167c41c68d7e61e2ae76812936821d0317d5,eblocker-certificate-validator,"retain until replacement parity; inventoried, not semantically certified",R10 PKI and proxy,contract + feature + upgrade tests; no deletion before evidence
eblocker-certificate-validator/src/deb/control/control,4450f4840a92afec58229ddaf276e1fcda382fd9,eblocker-certificate-validator,"retain until replacement parity; inventoried, not semantically certified",R10 PKI and proxy,contract + feature + upgrade tests; no deletion before evidence
eblocker-certificate-validator/src/deb/control/postinst,472451db509feb7462280e2a92d92b5332d12280,eblocker-certificate-validator,"retain until replacement parity; inventoried, not semantically certified",R10 PKI and proxy,contract + feature + upgrade tests; no deletion before evidence
eblocker-certificate-validator/src/deb/control/postrm,aed4d93878e77f6303f3b0626ef1aebfb18227ef,eblocker-certificate-validator,"retain until replacement parity; inventoried, not semantically certified",R10 PKI and proxy,contract + feature + upgrade tests; no deletion before evidence
eblocker-certificate-validator/src/deb/control/preinst,21672bed3614e459b875881ec1c822ba0717d2a7,eblocker-certificate-validator,"retain until replacement parity; inventoried, not semantically certified",R10 PKI and proxy,contract + feature + upgrade tests; no deletion before evidence
